geneId,sampleId,expression,celltype,cell Type Description,cell_lineage,tissue,treatment,immunophenotype,species,strain,sampleCode,RNA.Id,batch,firstPublished,cellOrder,gene_symbol
ENSMUSG00000000552,MegTPO.1,7833,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Zfp385a
ENSMUSG00000000782,MegTPO.1,3,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Tcf7
ENSMUSG00000000861,MegTPO.1,414,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Bcl11a
ENSMUSG00000001156,MegTPO.1,3078,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Mxd1
ENSMUSG00000001444,MegTPO.1,0,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Tbx21
ENSMUSG00000002111,MegTPO.1,1736,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Spi1
ENSMUSG00000003032,MegTPO.1,10,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Klf4
ENSMUSG00000003545,MegTPO.1,11,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Fosb
ENSMUSG00000005583,MegTPO.1,13761,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Mef2c
ENSMUSG00000008193,MegTPO.1,1,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Spib
